Player Player 180 730 0 0
Ground Ground  2 1 127 180
Ground Ground  2 133 521 80     
Ground Ground 83 192 87 93
Ground Ground 83 285 67 52 
Ground Ground 235 315 42 147
Ground Ground 200 364 131 75
Ground Ground 86 382 110 105
Ground Ground 167 2 25 49
Ground Ground 86 496 155 197
Ground Ground 401 590 63 285
Ground Ground 290 538 96 27 
Ground Ground 270 362 20 20   
Ground Ground 483 199 107 122
Ground Ground 280 107 98 91
Ground Ground 297 190 32 58
Ground Ground 357 122 60 33    
Ground Ground 262 126 57 29
Ground Ground 293 93 26 59
Ground Ground 480 4 131 136
Ground Ground 597 2 71 71
Ground Ground 446 1 29 45
Ground Ground 462 31 23 21
Ground Ground 421 -2 14 28
Ground Ground 781 0 103 517          
Ground Ground 1177 105 153 116
Ground Ground 1421 111 58 76
Ground Ground 1742 81 58 70
Ground Ground 1609 442 91 244
Ground Ground 1189 440 169 240
Ground Ground 1067 444 197 118 
Ground Ground 904 531 106 162
Ground Ground 797 460 74 150
Ground Ground 819 249 61 63
Ground Ground 833 296 29 35
Ground Ground 1119 103 43 60
Ground Ground 783 784 79 282
Ground Ground 1079 926 300 63
Ground Ground 113 1025 181 76
Ground Ground 86 844 72 209               
Ground Ground 308 779 63 68
Ground Ground 298 842 34 39
Ground Ground 295 877 19 23
Ground Ground 338 837 22 15
Ground Ground 446 866 53 47 
Ground Ground 420 890 31 25
Ground Ground 1087 795 121 73
Ground Ground 1325 995 231 158   
Ground Ground 1523 769 212 83
Ground Ground 1482 1162 63 501 
Ground Ground 1710 924 34 61
Ground Ground 1898 925 45 53
Ground Ground 1685 760 6 296           
Ground Ground 1685 767 69 9         
Ground Ground 1282 871 49 40              
Ground Ground 1290 1361 59 507
Ground Ground 1814 1418 222 111           
Ground Ground 1564 1515 62 80
Ground Ground 1287 1573 97 7
Ground Ground 1468 1798 59 515        
Ground Ground 3 1968 13 1979      
Ground Ground 3 1768 71 306
Ground Ground 4 1461 302 48                
Ground Ground 448 1775 58 670         
Ground Ground 576 1625 144 72
Ground Ground 1163 1703 40 42
Ground Ground 752 1582 45 40
Ground Ground 982 1383 215 71
Ground Ground 751 1396 71 117
Ground Ground 2 1394 48 733
Ground Ground 270 1024 98 8         
Ground Ground 285 1020 8 281
Ground Ground 566 1033 98 7   
Ground Ground 640 104 121 29
Ground Ground 1607 281 43 176
Ground Ground 1584 179 28 84
Ground Ground 1529 581 82 181
Ground Ground 1725 532 38 82
Ground Ground 1706 572 45 51              
Ground Ground 1582 452 89 28   
Ground Ground 1848 610 49 59          
Ground Ground 902 1381 59 90         
Ground Ground 1280 1789 68 70    
Ground Ground 1518 79 36 38 
Ground Ground 1490 103 36 35
SideWalk SideWalk 477 139 55 191
SideWalk SideWalk 671 -1 184 139
SideWalk SideWalk 619 75 59 14
SideWalk SideWalk 701 190 228 16
SideWalk SideWalk 786 164 22 195
SideWalk SideWalk 986 104 47 39
SideWalk SideWalk 1029 103 20 24
SideWalk SideWalk 982 153 18 19
SideWalk SideWalk 1153 177 149 23
SideWalk SideWalk 1148 149 23 26
SideWalk SideWalk 1133 149 9 13
SideWalk SideWalk 1179 313 13 279
SideWalk SideWalk 1294 262 20 211
SideWalk SideWalk 1448 285 18 30
SideWalk SideWalk 1552 205 14 27
SideWalk SideWalk 1522 231 17 26
SideWalk SideWalk 1497 247 14 28
SideWalk SideWalk 1530 221 8 42
SideWalk SideWalk 1300 96 8 128
SideWalk SideWalk 1562 99 11 179
SideWalk SideWalk 1764 140 139 14
SideWalk SideWalk 1741 260 20 22
SideWalk SideWalk 1788 320 9 193
SideWalk SideWalk 1910 651 11 73
SideWalk SideWalk 1822 642 20 24
SideWalk SideWalk 1956 527 17 26
SideWalk SideWalk 1935 546 18 20
SideWalk SideWalk 1909 567 19 23
SideWalk SideWalk 1880 589 16 35
SideWalk SideWalk 1859 429 79 23
SideWalk SideWalk 1809 535 17 19
SideWalk SideWalk 1857 509 12 14
SideWalk SideWalk 1511 512 148 16
SideWalk SideWalk 1712 619 14 23
SideWalk SideWalk 1760 575 16 19
SideWalk SideWalk 1526 498 11 54
SideWalk SideWalk 1551 480 18 27
